COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Kenya,KEN,AFRO,REPORTING,2/24/2022,16456660,7755463,30.605,14.423,7502696,13.953,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",3/5/2021,5
Kiribati,KIR,WPRO,REPORTING,2/19/2022,127916,76491,107.088,64.037,50428,42.217,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV",5/26/2021,2
Kosovo,XKX,EURO,REPORTING,2/20/2022,1808756,899560,100.7,50.096,813185,45.286,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2
Kuwait,KWT,EMRO,REPORTING,2/27/2022,7567520,3391299,177.202,79.411,3275680,76.704,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/28/2020,5
Kyrgyzstan,KGZ,EURO,REPORTING,2/20/2022,2492189,1320378,38.2,20.238,1110070,17.015,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,RIBSP - QazVac",3/31/2021,6
Lao People's Democratic Republic,LAO,WPRO,REPORTING,2/17/2022,8791236,4830440,120.832,66.393,4255830,58.495,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11/25/2020,8
Latvia,LVA,EURO,REPORTING,2/13/2022,2766743,1295877,145,67.93,1258746,65.983,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4
Lebanon,LBN,EMRO,REPORTING,2/21/2022,5396565,2630036,79.065,38.533,2258778,33.093,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",2/14/2021,4
Lesotho,LSO,AFRO,REPORTING,2/15/2022,857925,782175,40.048,36.512,727528,33.961,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",3/10/2021,3
Liberia,LBR,AFRO,REPORTING,2/10/2022,1200630,1116709,23.739,22.079,1084591,21.444,SII - Covishield,4/1/2021,1
Libya,LBY,EMRO,REPORTING,2/27/2022,3308719,2151128,48.153,31.306,1086612,15.814,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",4/11/2021,7
Liechtenstein,LIE,OTHER,OWID,2/24/2022,70228,26706,181.248,68.924,26353,68.013,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2
