COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Sint Eustatius,XBA,AMRO,REPORTING,2/25/2022,3110,1588,99.076,50.589,1522,48.487,,,
Sint Maarten,SXM,AMRO,REPORTING,2/25/2022,61545,27857,143.522,64.962,25848,60.277,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2/22/2021,3
Slovakia,SVK,EURO,REPORTING,2/20/2022,7008272,2816259,128.4,51.6,2754644,50.471,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/6/2021,5
Slovenia,SVN,EURO,REPORTING,2/20/2022,2957432,1252953,141.1,59.782,1217641,58.097,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020,4
Solomon Islands,SLB,WPRO,REPORTING,2/20/2022,301294,206118,43.864,30.008,95101,13.845,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",3/23/2021,4
Somalia,SOM,EMRO,REPORTING,2/26/2022,1794447,1450684,11.291,9.128,922190,5.802,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield,Sinovac - CoronaVac",3/16/2021,4
South Africa,ZAF,AFRO,REPORTING,2/27/2022,31439128,20866135,53.009,35.182,17775410,29.971,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2/17/2021,2
South Sudan,SSD,AFRO,REPORTING,2/20/2022,431539,381712,3.855,3.41,333634,2.981,"Janssen - Ad26.COV 2-S,SII - Covishield",4/6/2021,2
Spain,ESP,EURO,REPORTING,2/20/2022,98615715,40929909,208.3,86.473,35998047,76.053,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4
Sri Lanka,LKA,SEARO,REPORTING,2/21/2022,37485712,16855359,175.058,78.715,14091594,65.808,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",1/29/2021,6
Sudan,SDN,EMRO,REPORTING,2/15/2022,5711034,5126250,13.024,11.691,2333416,5.321,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/9/2021,5
Suriname,SUR,AMRO,REPORTING,2/25/2022,545058,265860,92.913,45.32,234910,40.044,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2/23/2021,5
Sweden,SWE,EURO,REPORTING,2/20/2022,19694254,7526952,190.7,72.882,7334879,71.022,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020,3
Switzerland,CHE,EURO,REPORTING,2/20/2022,11821090,6076088,136.6,70.603,5802688,67.426,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020,3
Syrian Arab Republic,SYR,EMRO,REPORTING,2/21/2022,3187594,2197941,18.214,12.559,1229358,7.025,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,SII - Covishield,Sinovac - CoronaVac",4/1/2021,6
Tajikistan,TJK,EURO,REPORTING,2/20/2022,9279471,4916961,97.3,51.553,4107682,43.068,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/24/2021,6
Thailand,THA,SEARO,REPORTING,2/21/2022,121955090,53177816,174.721,76.186,49449889,70.845,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/28/2021,7
The United Kingdom,GBR,EURO,REPORTING,2/22/2022,139482283,52573589,205.5,77.246,48885893,71.828,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/21/2020,3
Timor-Leste,TLS,SEARO,REPORTING,2/22/2022,1259011,677178,95.492,51.362,571418,43.34,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",4/7/2021,4
Togo,TGO,AFRO,REPORTING,1/21/2022,2515341,1415448,30.383,17.097,1075383,12.99,SII - Covishield,3/10/2021,1
Tokelau,TKL,WPRO,REPORTING,9/28/2021,1936,968,143.407,71.704,968,71.704,Pfizer BioNTech - Comirnaty,7/20/2021,1
Tonga,TON,WPRO,REPORTING,2/18/2022,157483,75868,148.998,71.78,69092,65.369,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",4/14/2021,2
Trinidad and Tobago,TTO,AMRO,REPORTING,2/25/2022,1520535,740765,108.649,52.931,701881,50.153,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2/17/2021,5
Tunisia,TUN,EMRO,REPORTING,2/16/2022,14524342,8778669,122.894,74.278,6295200,53.265,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/13/2021,7
Turkey,TUR,EURO,OWID,2/23/2022,144850157,57623451,171.7,69.296,52715583,63.394,"Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Turkovac",,3
Turkmenistan,TKM,EURO,REPORTING,8/29/2021,7580976,4374694,125.7,72.535,3206282,53.162,"Anhui ZL - Recombinant,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,RIBSP - QazVac,SRCVB - EpiVacCorona",2/24/2021,6
Turks and Caicos Islands,TCA,AMRO,REPORTING,2/25/2022,68176,31165,176.083,80.492,29160,75.314,Pfizer BioNTech - Comirnaty,1/11/2021,1
Tuvalu,TUV,WPRO,REPORTING,10/22/2021,12114,6230,102.731,52.832,5884,49.898,AstraZeneca - Vaxzevria,4/13/2021,1
Uganda,UGA,AFRO,REPORTING,2/21/2022,16254268,13531724,35.535,29.583,2706785,5.918,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/10/2021,5
Ukraine,UKR,EURO,REPORTING,2/20/2022,31455954,15718610,71.9,35.942,15062320,34.441,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/24/2021,6
United Arab Emirates,ARE,EMRO,REPORTING,2/27/2022,24046491,,243.13,,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield",12/14/2020,5
United Republic of Tanzania,TZA,AFRO,REPORTING,2/23/2022,4278673,721710,7.163,1.208,2350283,3.935,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",7/28/2021,3
United States of America,USA,AMRO,REPORTING,2/25/2022,537567013,253157102,162.406,76.482,210172612,63.496,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/14/2020,3
Uruguay,URY,AMRO,REPORTING,2/25/2022,7612199,2964083,219.136,85.329,2728709,78.553,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/27/2021,3
Uzbekistan,UZB,EURO,REPORTING,2/20/2022,42121870,18446210,125.9,55.114,13160671,39.322,"Anhui ZL - Recombinant,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",4/28/2021,7
Vanuatu,VUT,WPRO,REPORTING,2/20/2022,197335,114284,64.248,37.208,85180,27.733,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S",6/2/2021,3
Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,2/25/2022,37860994,22157232,133.145,77.92,14287370,50.244,"Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Sinovac - CoronaVac",2/22/2021,6
Viet Nam,VNM,WPRO,REPORTING,2/17/2022,190215794,79453512,195.417,81.626,75350423,77.411,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3/8/2021,6
Wallis and Futuna,WLF,WPRO,REPORTING,2/18/2022,15633,6450,139.009,57.354,6399,56.9,Moderna - Spikevax,3/19/2021,1
Yemen,YEM,EMRO,REPORTING,2/17/2022,772574,614653,2.59,2.061,372918,1.25,"Janssen - Ad26.COV 2-S,SII - Covishield,Sinovac - CoronaVac",4/20/2021,3
Zambia,ZMB,AFRO,REPORTING,2/27/2022,2822009,2487149,15.35,13.529,1862614,10.132,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",4/14/2021,3
Zimbabwe,ZWE,AFRO,REPORTING,2/25/2022,7841837,4347329,52.761,29.249,3381046,22.748,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Sinovac - CoronaVac",2/18/2021,4
